date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:18	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Aug%202022%2016:07:18%20GMT	http://malikhassan.com/robots.txt		(from )
11:07:19	34230/34230	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:56%20GMT	http://malikhassan.com/html/evernest/	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/index.html	(from )
11:07:21	144877/144877	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2006:22:47%20GMT	http://malikhassan.com/html/evernest/css/bootstrap.min.css	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/css/bootstrap.min.css	(from http://malikhassan.com/html/evernest/)
11:07:21	71146/71146	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2006:22:47%20GMT	http://malikhassan.com/html/evernest/css/all.css	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/css/all.css	(from http://malikhassan.com/html/evernest/)
11:07:23	4744/4744	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2006:22:47%20GMT	http://malikhassan.com/html/evernest/css/owl.carousel.css	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/css/owl.carousel.css	(from http://malikhassan.com/html/evernest/)
11:07:24	77906/77906	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2006:22:46%20GMT	http://malikhassan.com/html/evernest/css/animate.css	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/css/animate.css	(from http://malikhassan.com/html/evernest/)
11:07:25	4007/4007	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2006:22:47%20GMT	http://malikhassan.com/html/evernest/css/nice-select.css	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/css/nice-select.css	(from http://malikhassan.com/html/evernest/)
11:07:25	54828/54828	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2006:22:49%20GMT	http://malikhassan.com/html/evernest/css/style.css	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/css/style.css	(from http://malikhassan.com/html/evernest/)
11:07:27	16000/16000	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:49%20GMT	http://malikhassan.com/html/evernest/submit_property.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/submit_property.html	(from http://malikhassan.com/html/evernest/)
11:07:28	34230/34230	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:56%20GMT	http://malikhassan.com/html/evernest/index.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/index-2.html	(from http://malikhassan.com/html/evernest/)
11:07:29	30762/30762	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:48%20GMT	http://malikhassan.com/html/evernest/index_slider.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/index_slider.html	(from http://malikhassan.com/html/evernest/)
11:07:29	6490/6490	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Oct%202020%2006:23:06%20GMT	http://malikhassan.com/html/evernest/images/logo.png	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/images/logo.png	(from http://malikhassan.com/html/evernest/)
11:07:30	35252/35252	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:57%20GMT	http://malikhassan.com/html/evernest/index_video.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/index_video.html	(from http://malikhassan.com/html/evernest/)
11:07:30	29209/29209	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:49%20GMT	http://malikhassan.com/html/evernest/index_map.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/index_map.html	(from http://malikhassan.com/html/evernest/)
11:07:31	31902/31902	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:52:07%20GMT	http://malikhassan.com/html/evernest/property_grid.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/property_grid.html	(from http://malikhassan.com/html/evernest/)
11:07:32	33768/33768	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:44%20GMT	http://malikhassan.com/html/evernest/property_list.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/property_list.html	(from http://malikhassan.com/html/evernest/)
11:07:33	32103/32103	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Apr%202021%2004:51:53%20GMT	http://malikhassan.com/html/evernest/property_map.html	D:/Plantilla%20ThemeForest/plantilla/malikhassan.com/html/evernest/property_map.html	(from http://malikhassan.com/html/evernest/)
